isbn_number,code,start,end,title,sub_title,category,author,price,edition,edition_year,language,publisher,publish_year,series,rack_location,total_pages,source
679425608,CS11,1,1,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,BOOK,David Cordingly,2553,3rd,2020,English,Waterbrook Press,1998,1st,102,880,GIFT
771074670,CS12,1,1,Nights Below Station Street,Nights Below Station Street,BOOK,David Adams Richards,2026,5th,2016,English,Zebra Books,2005,2nd,104,695,GIFT
887841740,CS13,1,1,The Middle Stories,The Middle Stories,BOOK,Sheila Heti,2990,5th,2015,English,Thomas Nelson Inc,2004,1st,102,257,BUY
1552041778,CS14,1,1,Jane Doe,Jane Doe,BOOK,R. J. Kaiser,2341,4th,2015,English,Harlequin Enterprises Limited,2006,2nd,106,783,GIFT
1558746218,CS15,1,1,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),BOOK,Jack Canfield,1067,1st,2011,English,Not Avail,2005,1st,104,746,BUY
1567407781,CS16,1,1,The Witchfinder (Amos Walker Mystery Series),The Witchfinder (Amos Walker Mystery Series),BOOK,Loren D. Estleman,1648,5th,2015,English,Pocket Books,2002,1st,103,497,BUY
1575663937,CS17,1,1,More Cunning Than Man: A Social History of Rats and Man,More Cunning Than Man: A Social History of Rats and Man,BOOK,Robert Hendrickson,800,4th,2011,English,Crown Publishing Group (NY),2005,2nd,107,388,GIFT
1881320189,CS18,1,1,Goodbye to the Buttermilk Sky,Goodbye to the Buttermilk Sky,BOOK,Julia Oliver,3535,2nd,2017,English,Trafford Publishing,2006,1st,108,873,BUY
440234743,CS19,1,1,The Testament,The Testament,BOOK,John Grisham,1120,5th,2012,English,Knapp Pr,2002,2nd,110,406,BUY
452264464,CS20,1,1,Beloved (Plume Contemporary Fiction),Beloved (Plume Contemporary Fiction),BOOK,Toni Morrison,759,2nd,2017,English,Random House Childrens Books,2004,1st,105,284,GIFT
609804618,CS21,1,1,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,BOOK,The Onion,1184,5th,2011,English,Little Brown & Co,2000,1st,103,487,GIFT
1841721522,CS22,1,1,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,BOOK,Celia Brooks Brown,1977,4th,2011,English,Johnson Books,1998,2nd,101,520,BUY
1879384493,CS23,1,1,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,BOOK,J. R. Parrish,3445,1st,2018,English,Dell,2005,1st,110,566,GIFT
61076031,CS24,1,1,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),BOOK,Mary-Kate & Ashley Olsen,1212,5th,2018,English,Random House Inc,2003,2nd,108,664,GIFT
439095026,CS25,1,1,Tell Me This Isn't Happening,Tell Me This Isn't Happening,BOOK,Robynn Clairday,3225,4th,2019,English,Midpoint Trade Books Inc,2004,1st,110,920,BUY
689821166,CS26,1,1,Flood : Mississippi 1927,Flood : Mississippi 1927,BOOK,Kathleen Duey,3232,2nd,2010,English,St. Martin's Minotaur,2007,1st,106,535,GIFT
971880107,CS27,1,1,Wild Animus,Wild Animus,BOOK,Rich Shapero,1997,3rd,2020,English,LCL Productions,1998,2nd,105,308,GIFT
345402871,CS28,1,1,Airframe,Airframe,BOOK,Michael Crichton,3465,4th,2017,English,Crescent,2004,1st,103,590,GIFT
345417623,CS29,1,1,Timeline,Timeline,BOOK,MICHAEL CRICHTON,607,1st,2016,English,Macmillan General Reference,2004,2nd,107,383,BUY
684823802,CS30,1,1,OUT OF THE SILENT PLANET,OUT OF THE SILENT PLANET,BOOK,C.S. Lewis,1048,4th,2021,English,Ballantine Books,1999,1st,108,381,GIFT
375759778,CS31,1,1,Prague : A Novel,Prague : A Novel,BOOK,ARTHUR PHILLIPS,2767,4th,2014,English,Lancelot Pr Ltd,2000,1st,102,509,GIFT
425163091,CS32,1,1,Chocolate Jesus,Chocolate Jesus,BOOK,Stephan Jaramillo,3256,3rd,2015,English,New York Review of Books,2005,2nd,107,347,GIFT
3404921038,CS33,1,1,Wie Barney es sieht.,Wie Barney es sieht.,BOOK,Mordecai Richler,3441,4th,2019,English,Silhouette,2003,1st,101,954,BUY
3442353866,CS34,1,1,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,BOOK,Eleanor Cooney,3056,4th,2012,English,Ivy Books,2005,2nd,104,467,GIFT
3442410665,CS35,1,1,Sturmzeit. Roman.,Sturmzeit. Roman.,BOOK,Charlotte Link,3503,4th,2015,English,Not Avail,1999,1st,108,810,GIFT
3442446937,CS36,1,1,Tage der Unschuld.,Tage der Unschuld.,BOOK,Richard North Patterson,1045,5th,2020,English,Graphic Arts Center Pub Co,1998,1st,109,411,GIFT
375406328,CS37,1,1,Lying Awake,Lying Awake,BOOK,Mark Salzman,1598,5th,2014,English,Queenston House,1998,2nd,110,776,BUY
446310786,CS38,1,1,To Kill a Mockingbird,To Kill a Mockingbird,BOOK,Harper Lee,790,2nd,2020,English,Dorset House Publishing Company,2007,1st,108,522,GIFT
449005615,CS39,1,1,Seabiscuit: An American Legend,Seabiscuit: An American Legend,BOOK,LAURA HILLENBRAND,925,5th,2017,English,Accolade Books,2000,2nd,104,342,GIFT
60168013,CS40,1,1,Pigs in Heaven,Pigs in Heaven,BOOK,Barbara Kingsolver,584,3rd,2010,English,Tundra Books,2006,1st,104,903,BUY
61099686,CS41,1,1,Downtown,Downtown,BOOK,Anne Rivers Siddons,1658,3rd,2010,English,Unknown Publisher - Being Researched,2000,1st,104,734,BUY
553582909,CS42,1,1,Icebound,Icebound,BOOK,Dean R. Koontz,1229,2nd,2010,English,Meadowbrook Press,2001,2nd,109,342,BUY
671888587,CS43,1,1,I'll Be Seeing You,I'll Be Seeing You,BOOK,Mary Higgins Clark,3171,4th,2018,English,Holiday House,2004,1st,110,874,BUY
553582747,CS44,1,1,From the Corner of His Eye,From the Corner of His Eye,BOOK,Dean Koontz,3389,1st,2019,English,Harper Mass Market Paperbacks,2007,2nd,107,653,GIFT
425182908,CS45,1,1,Isle of Dogs,Isle of Dogs,BOOK,Patricia Cornwell,3311,2nd,2013,English,Delacorte Press,2007,1st,102,667,GIFT
440223571,CS46,1,1,This Year It Will Be Different: And Other Stories,This Year It Will Be Different: And Other Stories,BOOK,Maeve Binchy,3548,3rd,2013,English,Orion Children's,2005,1st,108,417,BUY
812523873,CS47,1,1,Proxies,Proxies,BOOK,Laura J. Mixon,1233,1st,2019,English,Prentice-Hall,2003,2nd,108,607,BUY
842342702,CS48,1,1,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Left Behind: A Novel of the Earth's Last Days (Left Behind #1),BOOK,Tim Lahaye,2080,5th,2020,English,Berkley Pub Group,2002,1st,101,765,BUY
440225701,CS49,1,1,The Street Lawyer,The Street Lawyer,BOOK,JOHN GRISHAM,1880,3rd,2014,English,Blue Sky Press (AZ),2000,2nd,107,411,BUY
60914068,CS50,1,1,Love,Love,BOOK,Robert Penn Warren,1769,4th,2013,English,William Heinemann,2005,1st,110,517,GIFT
156047624,CS51,1,1,All the King's Men,All the King's Men,BOOK,Hans Johannes Hoefer,2100,2nd,2010,English,Tor Books,1999,1st,108,613,GIFT
245542957,CS52,1,1,Pacific Northwest,Pacific Northwest,BOOK,Mark Helprin,2650,4th,2010,English,Voyager Books,2004,2nd,110,982,GIFT
380715899,CS53,1,1,A Soldier of the Great War,A Soldier of the Great War,BOOK,O. Carol Simonton Md,1454,1st,2019,English,Little Brown & Co,2004,1st,109,646,BUY
553280333,CS54,1,1,Getting Well Again,Getting Well Again,BOOK,Chuck Hill,3304,4th,2013,English,Gollancz,2003,2nd,110,676,GIFT
961769947,CS55,1,1,Northwest Wines and Wineries,Northwest Wines and Wineries,BOOK,David Iglehart,1038,2nd,2020,English,Chariot Family Pub,2005,1st,104,542,GIFT
964778319,CS56,1,1,An Atmosphere of Eternity: Stories of India,An Atmosphere of Eternity: Stories of India,BOOK,Larry McMurtry,635,5th,2010,English,Macmillan Canada,2007,1st,110,512,BUY
671623249,CS57,1,1,LONESOME DOVE,LONESOME DOVE,BOOK,SUZANNE FISHER STAPLES,2336,2nd,2014,English,Chariot Family Pub,1999,2nd,102,865,GIFT
679810307,CS58,1,1,Shabanu: Daughter of the Wind (Border Trilogy),Shabanu: Daughter of the Wind (Border Trilogy),BOOK,SUZANNE FISHER STAPLES,2411,4th,2010,English,Chariot Family Pub,2003,1st,102,726,BUY
679865691,CS59,1,1,Haveli (Laurel Leaf Books),Haveli (Laurel Leaf Books),BOOK,Michel Tournier,1794,1st,2019,English,Hodder Headline Australia,2002,2nd,103,429,GIFT
2070423204,CS60,1,1,Lieux dits,Lieux dits,BOOK,Carl Sagan,1491,3rd,2017,English,Chariot Family Pub,2000,1st,110,685,BUY
345260317,CS61,1,1,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,BOOK,Aleksandr Zinoviev,1991,3rd,2015,English,W. Ritchie Press,2000,1st,107,296,BUY
394743741,CS62,1,1,The yawning heights,The yawning heights,BOOK,Amy Tan,2245,2nd,2019,English,Barbour Publishing,2006,2nd,105,698,GIFT
804106304,CS63,1,1,The Joy Luck Club,The Joy Luck Club,BOOK,Joseph Conrad,928,1st,2015,English,Headline,2001,1st,102,814,GIFT
1853262404,CS64,1,1,Heart of Darkness (Wordsworth Collection),Heart of Darkness (Wordsworth Collection),BOOK,Deepak Chopra,3265,2nd,2017,English,Publishamerica,1998,2nd,107,976,BUY
312970242,CS65,1,1,The Angel Is Near,The Angel Is Near,BOOK,Thomas Hardy,2454,4th,2012,English,Simon & Schuster,2005,1st,102,472,BUY
1853260053,CS66,1,1,Tess of the D'Urbervilles (Wordsworth Classics),Tess of the D'Urbervilles (Wordsworth Classics),BOOK,Charles Noland,1814,4th,2010,English,Ruminator Books,2002,1st,108,774,GIFT
1414035004,CS67,1,1,The Adventures of Drew and Ellie: The Magical Dress,The Adventures of Drew and Ellie: The Magical Dress,BOOK,Valerie Frankel,690,1st,2010,English,Scribner,2007,2nd,103,642,GIFT
60938412,CS68,1,1,The Accidental Virgin,The Accidental Virgin,BOOK,Benjamin Hoff,1994,1st,2013,English,Back Bay Books,1998,1st,106,734,GIFT
140067477,CS69,1,1,The Tao of Pooh,The Tao of Pooh,BOOK,LAURA HILLENBRAND,678,5th,2015,English,McClelland and Stewart,2006,2nd,109,264,BUY
345465083,CS70,1,1,Seabiscuit,Seabiscuit,BOOK,Niccolo Machiavelli,1363,4th,2012,English,Jeremy P. Tarcher,2003,1st,107,924,GIFT
451625889,CS71,1,1,The Prince,The Prince,BOOK,H. Jackson Brown,2894,3rd,2019,English,Nelson Bibles,2001,1st,108,933,GIFT
1558531025,CS72,1,1,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),BOOK,Robert A. Heinlein,2492,2nd,2016,English,Whitecap Books,1999,2nd,105,339,BUY
441783589,CS73,1,1,Starship Troopers,Starship Troopers,BOOK,Anna Sewell,2848,2nd,2013,English,Zondervan,2007,1st,108,892,BUY
394895894,CS74,1,1,The Ruby in the Smoke (Sally Lockhart Trilogy,The Ruby in the Smoke (Sally Lockhart Trilogy,BOOK,MICHAEL ONDAATJE,3517,2nd,2019,English,Fischer (Tb.),2001,2nd,109,958,GIFT
1569871213,CS75,1,1,Black Beauty (Illustrated Classics),Black Beauty (Illustrated Classics),BOOK,Sandra Levy Ceren,1523,5th,2013,English,Fischer (Tb.),2004,1st,104,464,GIFT
375410538,CS76,1,1,Anil's Ghost,Anil's Ghost,BOOK,Mike Gayle,578,4th,2011,English,Andersen Press,2002,1st,108,623,BUY
966986105,CS77,1,1,Prescription for Terror,Prescription for Terror,BOOK,Stel Pavlou,844,1st,2020,English,Random House Inc,2006,2nd,104,795,BUY
340767936,CS78,1,1,Turning Thirty,Turning Thirty,BOOK,Dan Quayle,1642,5th,2021,English,Exley Giftbooks,2004,1st,104,598,GIFT
743403843,CS79,1,1,Decipher,Decipher,BOOK,Donald F. Kettl,1927,4th,2011,English,HarperFlamingo Canada,2007,2nd,104,783,BUY
60930365,CS80,1,1,My First Cousin Once Removed: Money,My First Cousin Once Removed: Money,BOOK,DAVID FRUM,3224,1st,2010,English,Turnstone Press,1999,1st,109,975,BUY
60177586,CS81,1,1,Standing Firm: A Vice-Presidential Memoir,Standing Firm: A Vice-Presidential Memoir,BOOK,Louis Lamour,2427,3rd,2011,English,Prentice Hall Press,2006,1st,107,469,BUY
71416331,CS82,1,1,Team Bush : Leadership Lessons from the Bush White House,Team Bush : Leadership Lessons from the Bush White House,BOOK,J.D. Salinger,3141,1st,2015,English,Harpercollins,2004,2nd,101,405,GIFT
375509038,CS83,1,1,The Right Man : The Surprise Presidency of George W. Bush,The Right Man : The Surprise Presidency of George W. Bush,BOOK,J. R. R. Tolkien,1097,4th,2021,English,Random House Audio,2005,1st,108,473,BUY
553062042,CS84,1,1,Daybreakers Louis Lamour Collection,Daybreakers Louis Lamour Collection,BOOK,J. R. R. Tolkien,1577,4th,2017,English,Greystone Books,1999,2nd,103,267,GIFT
316769487,CS85,1,1,The Catcher in the Rye,The Catcher in the Rye,BOOK,John Berendt,3391,2nd,2021,English,Harpercollins,2007,1st,109,316,GIFT
8445071408,CS86,1,1,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),BOOK,Mary Higgins Clark,2097,5th,2014,English,Jeremy P. Tarcher,2000,1st,101,481,GIFT
8445071769,CS87,1,1,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),BOOK,Jennifer Crusie,1147,3rd,2019,English,St. Martin's Press,2005,2nd,110,880,BUY
8445071777,CS88,1,1,El Senor De Los Anillos: El Retorno Del Rey (Tolkien,El Senor De Los Anillos: El Retorno Del Rey (Tolkien,BOOK,Jane Heller,1353,3rd,2021,English,Recorded Books,1999,1st,102,472,GIFT
679429220,CS89,1,1,Midnight in the Garden of Good and Evil: A Savannah Story,Midnight in the Garden of Good and Evil: A Savannah Story,BOOK,Michael Rips,888,2nd,2019,English,Ballantine Books,1998,2nd,107,423,BUY
671867156,CS90,1,1,Pretend You Don't See Her,Pretend You Don't See Her,BOOK,Simon Mawer,1279,3rd,2017,English,Cormorant Books,2006,1st,109,428,BUY
312252617,CS91,1,1,Fast Women,Fast Women,BOOK,Ken Follett,673,1st,2016,English,St Martins Pr,2001,1st,110,369,BUY
312261594,CS92,1,1,Female Intelligence,Female Intelligence,BOOK,John F. Love,978,5th,2017,English,Random House Large Print,2002,2nd,104,259,GIFT
316748641,CS93,1,1,Pasquale's Nose: Idle Days in an Italian Town,Pasquale's Nose: Idle Days in an Italian Town,BOOK,Robert G. Allen,1641,3rd,2021,English,Ace Books,2004,1st,105,789,BUY
316973742,CS94,1,1,The Gospel of Judas: A Novel,The Gospel of Judas: A Novel,BOOK,Mitch Albom,1405,4th,2010,English,Penguin USA,2007,2nd,105,715,BUY
385235941,CS95,1,1,Prize Stories,Prize Stories,BOOK,Irene Gonzalez Frei,2980,1st,2017,English,W.W. Norton & Company,2006,1st,104,397,GIFT
446677450,CS96,1,1,Rich Dad,Rich Dad,BOOK,Michael Jan Friedman,2947,1st,2019,English,Addison Wesley Pub Ltd,2005,1st,104,877,GIFT
451166892,CS97,1,1,The Pillars of the Earth,The Pillars of the Earth,BOOK,Glendon Swarthout,2380,4th,2017,English,DUMONT monte,2000,2nd,107,379,BUY
553347594,CS98,1,1,McDonald's: Behind the Arches,McDonald's: Behind the Arches,BOOK,David Morrell,3568,2nd,2017,English,Warner Books Inc,2002,1st,105,318,BUY
671621009,CS99,1,1,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,BOOK,Sandra Brown,3066,3rd,2010,English,Vintage Books USA,2007,2nd,103,755,BUY
684822733,CS100,1,1,The Five People You Meet in Heaven,The Five People You Meet in Heaven,BOOK,James Patterson,1865,2nd,2014,English,Carroll & Graf Publishers,2007,1st,110,443,BUY
786868716,CS101,1,1,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Tu Nombre Escrito En El Agua (La Sonrisa Vertical),BOOK,Sandra Brown,583,2nd,2017,English,Simon & Schuster,2000,1st,103,967,GIFT
8472238822,CS102,1,1,Relics (Star Trek: The Next Generation),Relics (Star Trek: The Next Generation),BOOK,Stuart Woods,2758,5th,2014,English,Alfred A. Knopf,1998,2nd,108,630,BUY
671864769,CS103,1,1,Bless The Beasts And Children : Bless The Beasts And Children,Bless The Beasts And Children : Bless The Beasts And Children,BOOK,IRIS JOHANSEN,2389,4th,2018,English,Polygram Spoken Word,2002,1st,108,372,BUY
671521519,CS104,1,1,The Touch of Your Shadow,The Touch of Your Shadow,BOOK,Dan Brown,2231,5th,2014,English,Bell Pub. Co.,2006,2nd,101,745,GIFT
440222303,CS105,1,1,Blood Oath,Blood Oath,BOOK,Joe Hutsko,2871,1st,2015,English,Blake Publishing,2002,1st,105,610,BUY
312953453,CS106,1,1,The Alibi,The Alibi,BOOK,Anita Shreve,3526,4th,2019,English,Van Nostrand Reinhold Co,2007,1st,108,409,GIFT
446608653,CS107,1,1,The Beach House,The Beach House,BOOK,Paul Theroux,1497,5th,2013,English,Academic Press,2000,2nd,103,369,GIFT
446612545,CS108,1,1,A Kiss Remembered,A Kiss Remembered,BOOK,Stephen King,2874,3rd,2018,English,Harpercollins,2000,1st,108,763,GIFT
446612618,CS109,1,1,The Short Forever,The Short Forever,BOOK,Ben Mezrich,885,5th,2019,English,Farrar Straus & Giroux,2001,2nd,106,686,GIFT
451208080,CS110,1,1,Dead Aim,Dead Aim,BOOK,Tom Clancy,592,1st,2020,English,Meredith Books,2006,1st,102,878,BUY
553584383,CS111,1,1,Angels & Demons,Angels & Demons,BOOK,DANA REEVE,2445,5th,2010,English,Dalkey Archive Press,2006,1st,105,317,BUY
671027360,CS112,1,1,The Deal,The Deal,BOOK,Roy,3230,2nd,2015,English,Sigourney Press,2002,2nd,107,481,BUY
812575954,CS113,1,1,All He Ever Wanted: A Novel,All He Ever Wanted: A Novel,BOOK,Barbara Metzger,2451,5th,2014,English,Scribner,2002,1st,110,955,BUY
316735736,CS114,1,1,Every Breath You Take : A True Story of Obsession,Every Breath You Take : A True Story of Obsession,BOOK,Gabriel Garcia Marquez,844,2nd,2015,English,Sigourney Press,2001,2nd,107,256,GIFT
743439740,CS115,1,1,If I Ever Get Back to Georgia,If I Ever Get Back to Georgia,BOOK,Rebecca Wells,1878,5th,2010,English,Cambridge University Press,2007,1st,103,562,GIFT
345372700,CS116,1,1,The Mosquito Coast,The Mosquito Coast,BOOK,Tony Hillerman,2738,4th,2012,English,Fodor's Travel Publications,2001,1st,101,326,GIFT
380619458,CS117,1,1,If Love Were Oil,If Love Were Oil,BOOK,Mary Higgins Clark,3396,3rd,2012,English,Dorling Kindersley Publishing,2006,2nd,107,726,BUY
446325805,CS118,1,1,Goodbye,Goodbye,BOOK,Robert James Waller,1453,1st,2017,English,Thames and Hudson,2007,1st,102,599,BUY
451406923,CS119,1,1,The Girl Who Loved Tom Gordon,The Girl Who Loved Tom Gordon,BOOK,Rachel Harris,1231,3rd,2014,English,Penguin Books Ltd,2005,2nd,110,637,BUY
671042858,CS120,1,1,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,BOOK,Michael Lewis,2130,5th,2013,English,Thames and Hudson,2007,1st,103,740,GIFT
743249992,CS121,1,1,The Oneprince (The Redaemian Chronicles,The Oneprince (The Redaemian Chronicles,BOOK,Richard Zimler,2413,3rd,2017,English,Image Books,2004,1st,106,691,GIFT
840734530,CS122,1,1,The Sum of All Fears,The Sum of All Fears,BOOK,Norman Jetmundsen,577,5th,2020,English,Serpent's Tail,1999,2nd,108,969,BUY
425184226,CS123,1,1,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,BOOK,Lorenzo Carcaterra,2577,3rd,2021,English,Sagebrush Education Resources,2007,1st,109,410,BUY
375500766,CS124,1,1,O Deus Das Pequenas Coisas,O Deus Das Pequenas Coisas,BOOK,Anne Frasier,2310,3rd,2013,English,Harpercollins,2000,2nd,106,978,BUY
9724119378,CS125,1,1,Lady in Green/Minor Indiscretions (Signet Regency Romance),Lady in Green/Minor Indiscretions (Signet Regency Romance),BOOK,Soren Kierkegaard,2212,3rd,2014,English,Penguin USA,1999,1st,103,563,BUY
451205197,CS126,1,1,One Hundred Years of Solitude,One Hundred Years of Solitude,BOOK,Jose Ortega Y Gaset,2443,2nd,2010,English,New Amsterdam Pr,2000,1st,109,263,GIFT
60929790,CS127,1,1,Little Altars Everywhere: A Novel,Little Altars Everywhere: A Novel,BOOK,Daphne Du Maurier,2088,1st,2011,English,Alfred A. Knopf,2003,2nd,106,852,BUY
60976845,CS128,1,1,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Coyote Waits (Joe Leaphorn/Jim Chee Novels),BOOK,Nathaniel Hawthorne,774,5th,2016,English,Knopf Canada,2005,1st,110,475,BUY
61099325,CS129,1,1,Before I Say Good-Bye,Before I Say Good-Bye,BOOK,Nick Page,3599,1st,2015,English,Anansi,1999,2nd,103,760,GIFT
671004573,CS130,1,1,Slow Waltz in Cedar Bend,Slow Waltz in Cedar Bend,BOOK,Laura Wolf,2017,3rd,2012,English,Running Press Book Publishers,2002,1st,108,395,GIFT
446601640,CS131,1,1,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),BOOK,LOIS DUNCAN,2783,5th,2011,English,Putnam,2003,1st,109,935,GIFT
330484516,CS132,1,1,Next: The Future Just Happened,Next: The Future Just Happened,BOOK,Susan Grant,1466,4th,2016,English,Houghton Mifflin Company,1999,2nd,102,612,GIFT
393020371,CS133,1,1,The Angelic Darkness,The Angelic Darkness,BOOK,Barbara Vine,2152,1st,2021,English,Turnstone Press,2004,1st,101,281,GIFT
1900850303,CS134,1,1,The Soulbane Stratagem,The Soulbane Stratagem,BOOK,Shirley Rousseau Murphy,3062,1st,2021,English,Signet a division of Penguin Books,1998,2nd,103,303,BUY
1903019699,CS135,1,1,Gangster,Gangster,BOOK,Jane Lindskold,1670,5th,2010,English,Goose Lane Editions,2001,1st,110,628,GIFT
345425294,CS136,1,1,Hush,Hush,BOOK,Betty Smith,697,1st,2011,English,Fairmount Books Ltd Remainders,2001,1st,107,981,GIFT
451410319,CS137,1,1,Whisper of Evil (Hooper,Whisper of Evil (Hooper,BOOK,Stewart O'Nan,2170,1st,2014,English,Delacorte Press,1998,2nd,105,848,BUY
553583468,CS138,1,1,Temor y Temblor,Temor y Temblor,BOOK,David Baldacci,2295,1st,2021,English,Bantam,2003,1st,110,341,GIFT
8420639133,CS139,1,1,Estudios sobre el amor,Estudios sobre el amor,BOOK,Douglas Adams,1274,2nd,2018,English,St Martins Pr,2005,2nd,106,383,GIFT
8476409419,CS140,1,1,Rebecca,Rebecca,BOOK,Mary Lawson,1108,2nd,2020,English,Random House Inc,2007,1st,105,976,BUY
380778556,CS141,1,1,Scarlet Letter,Scarlet Letter,BOOK,Olivia Goldsmith,3470,3rd,2010,English,Leisure Books,2005,1st,101,916,BUY
451525221,CS142,1,1,Keep It Simple: And Get More Out of Life,Keep It Simple: And Get More Out of Life,BOOK,Helen Fielding,818,1st,2016,English,Random House of Canada,2005,2nd,110,756,BUY
2740230,CS143,1,1,Diary of a Mad Mom-To-Be,Diary of a Mad Mom-To-Be,BOOK,Jane Austen,2310,1st,2020,English,Jove Books,2006,1st,102,419,GIFT
385336772,CS144,1,1,Locked in Time (Laurel Leaf Books),Locked in Time (Laurel Leaf Books),BOOK,Franklin W. Dixon,1481,2nd,2013,English,Pocket,2000,2nd,103,286,GIFT
440949424,CS145,1,1,Contact,Contact,BOOK,Franklin W. Dixon,1618,4th,2016,English,Goldmann,2004,1st,109,348,BUY
505524996,CS146,1,1,The Brimstone Wedding,The Brimstone Wedding,BOOK,Lilian Jackson Braun,2101,1st,2012,English,Southwest Parks & Monuments Association,2005,1st,106,394,BUY
140252800,CS147,1,1,The Catswold Portal,The Catswold Portal,BOOK,H. Norman Wright,1946,3rd,2014,English,Penguin USA,2007,2nd,110,375,BUY
451452755,CS148,1,1,Through Wolf's Eyes (Wolf),Through Wolf's Eyes (Wolf),BOOK,Piers Anthony,1734,5th,2012,English,Doubleday,1998,1st,103,766,BUY
812575482,CS149,1,1,Tree Grows In Brooklyn,Tree Grows In Brooklyn,BOOK,RAY BRADBURY,1909,4th,2011,English,Forge,2006,2nd,110,332,BUY
60801263,CS150,1,1,Cybill Disobedience: How I Survived Beauty Pageants,Cybill Disobedience: How I Survived Beauty Pageants,BOOK,Schiller,2378,1st,2011,English,HarperCollins Publishers,2007,1st,107,524,GIFT
61030147,CS151,1,1,Snow Angels,Snow Angels,BOOK,Ray Bradbury,2671,1st,2010,English,Sagebrush Bound,2000,1st,106,617,BUY
